comune,area,regione,sigla
Agliè,Nord-ovest,Piemonte,TO
Airasca,Nord-ovest,Piemonte,TO
Ala di Stura,Nord-ovest,Piemonte,TO
Albiano d'Ivrea,Nord-ovest,Piemonte,TO
Almese,Nord-ovest,Piemonte,TO
Alpette,Nord-ovest,Piemonte,TO
Alpignano,Nord-ovest,Piemonte,TO
Andezeno,Nord-ovest,Piemonte,TO
Andrate,Nord-ovest,Piemonte,TO
Angrogna,Nord-ovest,Piemonte,TO
Arignano,Nord-ovest,Piemonte,TO
Avigliana,Nord-ovest,Piemonte,TO
Azeglio,Nord-ovest,Piemonte,TO
Bairo,Nord-ovest,Piemonte,TO
Balangero,Nord-ovest,Piemonte,TO
Baldissero Canavese,Nord-ovest,Piemonte,TO
Baldissero Torinese,Nord-ovest,Piemonte,TO
Balme,Nord-ovest,Piemonte,TO
Banchette,Nord-ovest,Piemonte,TO
Barbania,Nord-ovest,Piemonte,TO
Bardonecchia,Nord-ovest,Piemonte,TO
Barone Canavese,Nord-ovest,Piemonte,TO
Beinasco,Nord-ovest,Piemonte,TO
Bibiana,Nord-ovest,Piemonte,TO
Bobbio Pellice,Nord-ovest,Piemonte,TO
Bollengo,Nord-ovest,Piemonte,TO
Borgaro Torinese,Nord-ovest,Piemonte,TO
Borgiallo,Nord-ovest,Piemonte,TO
Borgofranco d'Ivrea,Nord-ovest,Piemonte,TO
Borgomasino,Nord-ovest,Piemonte,TO
Borgone Susa,Nord-ovest,Piemonte,TO
Bosconero,Nord-ovest,Piemonte,TO
Brandizzo,Nord-ovest,Piemonte,TO
Bricherasio,Nord-ovest,Piemonte,TO
Brosso,Nord-ovest,Piemonte,TO
Brozolo,Nord-ovest,Piemonte,TO
Bruino,Nord-ovest,Piemonte,TO
Brusasco,Nord-ovest,Piemonte,TO
Bruzolo,Nord-ovest,Piemonte,TO
Buriasco,Nord-ovest,Piemonte,TO
Burolo,Nord-ovest,Piemonte,TO
Busano,Nord-ovest,Piemonte,TO
Bussoleno,Nord-ovest,Piemonte,TO
Buttigliera Alta,Nord-ovest,Piemonte,TO
Cafasse,Nord-ovest,Piemonte,TO
Caluso,Nord-ovest,Piemonte,TO
Cambiano,Nord-ovest,Piemonte,TO
Campiglione Fenile,Nord-ovest,Piemonte,TO
Candia Canavese,Nord-ovest,Piemonte,TO
Candiolo,Nord-ovest,Piemonte,TO
Canischio,Nord-ovest,Piemonte,TO
Cantalupa,Nord-ovest,Piemonte,TO
Cantoira,Nord-ovest,Piemonte,TO
Caprie,Nord-ovest,Piemonte,TO
Caravino,Nord-ovest,Piemonte,TO
Carema,Nord-ovest,Piemonte,TO
Carignano,Nord-ovest,Piemonte,TO
Carmagnola,Nord-ovest,Piemonte,TO
Casalborgone,Nord-ovest,Piemonte,TO
Cascinette d'Ivrea,Nord-ovest,Piemonte,TO
Caselette,Nord-ovest,Piemonte,TO
Caselle Torinese,Nord-ovest,Piemonte,TO
Castagneto Po,Nord-ovest,Piemonte,TO
